estado,total,especie,n_animais,utilizado,dor,droga
HI,140,caes,73,sim,não,não
HI,140,cavia_p,0,sim,não,não
HI,140,hamsters,0,sim,não,não
HI,140,primatas_nao_humanos,0,sim,não,não
HI,140,animais_de_fazenda,0,sim,não,não
HI,140,porcos,0,sim,não,não
HI,140,coelhos,12,sim,não,não
HI,140,ovelhas,18,sim,não,não
IA,7252,outras_especies,712,sim,não,não
IA,7252,gatos,165,sim,não,não
IA,7252,caes,387,sim,não,não
IA,7252,cavia_p,446,sim,não,não
IA,7252,hamsters,4371,sim,não,não
IA,7252,primatas_nao_humanos,5,sim,não,não
IA,7252,animais_de_fazenda,26,sim,não,não
IA,7252,porcos,573,sim,não,não
IA,7252,coelhos,31,sim,não,não
IA,7252,ovelhas,536,sim,não,não
ID,314,outras_especies,35,sim,não,não
ID,314,gatos,35,sim,não,não
ID,314,caes,102,sim,não,não
ID,314,cavia_p,0,sim,não,não
ID,314,hamsters,0,sim,não,não
ID,314,primatas_nao_humanos,0,sim,não,não
ID,314,animais_de_fazenda,97,sim,não,não
ID,314,porcos,3,sim,não,não
ID,314,coelhos,42,sim,não,não
ID,314,ovelhas,0,sim,não,não
IL,8145,outras_especies,1331,sim,não,não
IL,8145,gatos,509,sim,não,não
IL,8145,caes,1573,sim,não,não
IL,8145,cavia_p,1613,sim,não,não
IL,8145,hamsters,5,sim,não,não
IL,8145,primatas_nao_humanos,453,sim,não,não
IL,8145,animais_de_fazenda,351,sim,não,não
IL,8145,porcos,319,sim,não,não
IL,8145,coelhos,1321,sim,não,não
IL,8145,ovelhas,670,sim,não,não
IN,13787,outras_especies,4510,sim,não,não
IN,13787,gatos,282,sim,não,não
IN,13787,caes,791,sim,não,não
IN,13787,cavia_p,535,sim,não,não
IN,13787,hamsters,6223,sim,não,não
IN,13787,primatas_nao_humanos,236,sim,não,não
IN,13787,animais_de_fazenda,29,sim,não,não
IN,13787,porcos,13,sim,não,não
IN,13787,coelhos,1168,sim,não,não
IN,13787,ovelhas,0,sim,não,não
KS,2967,outras_especies,473,sim,não,não
KS,2967,gatos,613,sim,não,não
KS,2967,caes,1127,sim,não,não
KS,2967,cavia_p,112,sim,não,não
KS,2967,hamsters,6,sim,não,não
KS,2967,primatas_nao_humanos,82,sim,não,não
KS,2967,animais_de_fazenda,112,sim,não,não
KS,2967,porcos,255,sim,não,não
KS,2967,coelhos,139,sim,não,não
