estado,total,especie,n_animais
TN,5176,outras_especies,1206
TN,5176,gatos,388
TN,5176,caes,986
TN,5176,cavia_p,34
TN,5176,hamsters,654
TN,5176,primatas_nao_humanos,295
TN,5176,animais_de_fazenda,155
TN,5176,porcos,1069
TN,5176,coelhos,307
TN,5176,ovelhas,82
TX,40911,outras_especies,13788
TX,40911,gatos,614
TX,40911,caes,1579
TX,40911,cavia_p,2740
TX,40911,hamsters,2466
TX,40911,primatas_nao_humanos,5053
TX,40911,animais_de_fazenda,2303
TX,40911,porcos,2601
TX,40911,coelhos,9199
TX,40911,ovelhas,568
UT,3515,outras_especies,128
UT,3515,gatos,146
UT,3515,caes,311
UT,3515,cavia_p,60
UT,3515,hamsters,1281
UT,3515,primatas_nao_humanos,12
UT,3515,animais_de_fazenda,164
UT,3515,porcos,125
UT,3515,coelhos,1024
UT,3515,ovelhas,264
VA,9816,outras_especies,6339
VA,9816,gatos,77
VA,9816,caes,188
VA,9816,cavia_p,411
VA,9816,hamsters,74
VA,9816,primatas_nao_humanos,67
VA,9816,animais_de_fazenda,170
VA,9816,porcos,1974
VA,9816,coelhos,344
VA,9816,ovelhas,172
VT,2506,outras_especies,71
VT,2506,gatos,21
VT,2506,caes,46
VT,2506,cavia_p,63
VT,2506,hamsters,0
VT,2506,primatas_nao_humanos,0
VT,2506,animais_de_fazenda,29
VT,2506,porcos,13
VT,2506,coelhos,8
VT,2506,ovelhas,2255
WA,27262,outras_especies,17613
WA,27262,gatos,157
WA,27262,caes,758
WA,27262,cavia_p,2785
WA,27262,hamsters,689
WA,27262,primatas_nao_humanos,3633
WA,27262,animais_de_fazenda,222
WA,27262,porcos,594
WA,27262,coelhos,780
WA,27262,ovelhas,31
WI,35885,outras_especies,3141
WI,35885,gatos,406
WI,35885,caes,4677
WI,35885,cavia_p,2215
WI,35885,hamsters,1381
WI,35885,primatas_nao_humanos,8946
WI,35885,animais_de_fazenda,55
WI,35885,porcos,1268
WI,35885,coelhos,13634
WI,35885,ovelhas,162
WV,2528,outras_especies,2075
